z,a1,n0,n1,a0,a0_avg
0.0871,0.003492,1.0,3.3e-05,0.90467,0.911907
0.1828,0.004965,1.0,1.1e-05,0.903811,0.911907
0.2785,0.003419,1.0,0.00021,0.904043,0.911907
0.3742,0.004044,1.0,6.8e-05,0.903096,0.911907
0.4699,0.003554,1.0,3.6e-05,0.904465,0.911907
0.5656,0.011941,1.0,2e-06,0.902726,0.911907
0.6613,0.00397,1.0,4.6e-05,0.885218,0.911907
0.757,0.305481,1.0,1.0,0.890883,0.911907
0.8527,0.448228,1.0,0.999999,0.89853,0.911907
0.9484,0.561549,1.0,1.0,0.905048,0.911907
1.0441,0.659233,1.0,1.0,0.910899,0.911907
1.1398,0.746489,1.0,1.0,0.915646,0.911907
1.2355,0.827315,1.0,1.0,0.919586,0.911907
1.3312,0.900535,0.996347,1.0,0.922907,0.911907
1.4269,0.96007,0.969934,1.0,0.925439,0.911907
1.5226,1.005286,0.929868,1.0,0.926361,0.911907
1.6183,1.043435,0.886905,1.0,0.926876,0.911907
1.714,1.072474,0.835556,1.0,0.926623,0.911907
1.8097,1.096846,0.789696,1.0,0.925639,0.911907
1.9054,1.11528,0.739324,1.0,0.9246,0.911907
2.0011,1.129531,0.690999,1.0,0.922973,0.911907
