z,a1,n0,n1,a0,a0_avg
0.0871,0.01,1.0,2.0,0.977622,0.977622
0.1828,0.152,1.0,1.900005,0.977622,0.977622
0.2785,0.363496,1.0,1.80001,0.977622,0.977622
0.3742,0.354373,1.0,1.900005,0.977622,0.977622
0.4699,0.36449,1.0,1.80001,0.977622,0.977622
0.5656,0.436,1.0,1.316747,0.977622,0.977622
0.6613,0.883012,0.921973,1.60002,0.977622,0.977622
0.757,1.215458,0.483828,1.100045,0.977622,0.977622
0.8527,1.28786,0.267241,1.00005,0.977622,0.977622
0.9484,1.330899,0.187514,0.900055,0.977622,0.977622
1.0441,1.371462,0.173754,0.80006,0.977622,0.977622
1.1398,1.421695,0.163672,0.700065,0.977622,0.977622
1.2355,1.481726,0.134215,0.60007,0.977622,0.977622
1.3312,1.572,0.105426,0.500075,0.977622,0.977622
1.4269,1.714,0.082586,0.40008,0.977622,0.977622
1.5226,1.856,0.0661,0.300085,0.977622,0.977622
1.6183,1.998,0.053579,0.20009,0.977622,0.977622
1.714,2.266038,0.044364,0.100095,0.977622,0.977622
1.8097,2.85,0.037371,0.025097,0.977622,0.977622
1.9054,2.85,0.032226,0.024795,0.977622,0.977622
2.0011,2.85,0.028189,0.02449,0.977622,0.977622
